slot_id,course,x,y,role
0,0,-0.354,0.0,base
1,0,-0.236,0.0,base
2,0,-0.118,0.0,base
3,0,0.0,0.0,base
4,0,0.118,0.0,base
5,0,0.236,0.0,base
6,0,0.354,0.0,base
7,1,-0.295,0.006,middle
8,1,-0.177,0.006,middle
9,1,-0.059,0.006,middle
10,1,0.059,0.006,middle
11,1,0.177,0.006,middle
12,1,0.295,0.006,middle
13,2,-0.295,-0.006,middle
14,2,-0.177,-0.006,middle
15,2,-0.059,-0.006,middle
16,2,0.059,-0.006,middle
17,2,0.177,-0.006,middle
18,2,0.295,-0.006,middle
19,3,-0.236,0.0,cap
20,3,-0.118,0.0,cap
21,3,0.0,0.0,cap
22,3,0.118,0.0,cap
23,3,0.236,0.0,cap
