gravity,trial,strategy,target_name,rock_index,slot_id,course,role,cluster_label,source_kind,failure_reason,target_error_xy_m,horizontal_drift_m,final_x,final_y,final_z,volume,roughness,angularity,spike_score,flatness,elongation,stability_score
earth,0,statics_wall,single_face_wall_4course_v1,136,7,1,middle,multi_facet_clast_2,compact_block_clast,missed_target,0.21155771330555162,0.0038571637879661743,-0.30340601675986784,-0.20539064534956789,0.060716313116399495,0.0009207525377215934,0.054097700695465475,0.23190352931171504,0.08103151909963202,1.0827610302320367,1.0491104819056576,1.1507707986953732
earth,0,statics_wall,single_face_wall_4course_v1,106,21,3,cap,multi_facet_clast_6,equant_clast,unstable_structure,0.1864788328853141,0.004735068480057586,-0.12923455090243433,0.1344350622691678,0.043035018819040066,0.0003921225725287397,0.07383531124637084,0.232038181090549,0.0705666106102385,1.0660478281015995,1.1123161785003746,1.176001870496222
earth,1,statics_wall,single_face_wall_4course_v1,39,9,1,middle,multi_facet_clast_8,course_block_clast,missed_target,0.37963928404811936,0.0,-0.38437150094055234,-0.18960003161620606,0.04522829500058628,0.0006290637389805132,0.07135283164278716,0.23227511368123835,0.13000020334372175,1.1388721551366876,1.1879931719090813,1.430163117276587
earth,1,statics_wall,single_face_wall_4course_v1,76,16,2,middle,multi_facet_clast_2,compact_block_clast,missed_target,0.23423932483644264,0.0006005311893791734,0.15297796896434018,-0.2205604871572816,0.059460749998923264,0.0011472621917177862,0.04261281197263669,0.2320248537825752,0.07865090990133439,1.0543250634562802,1.0042157424411282,1.04499057031282
earth,1,statics_wall,single_face_wall_4course_v1,136,19,3,cap,multi_facet_clast_2,compact_block_clast,missed_target+post_hold_drift,0.2356231555009745,0.15240563501739596,-0.38857645151957426,0.1795513794152844,0.057996546660843515,0.0009207525377215934,0.054097700695465475,0.23190352931171504,0.08103151909963202,1.0827610302320367,1.0491104819056576,1.1507707986953732
earth,1,statics_wall,single_face_wall_4course_v1,81,20,3,cap,multi_facet_clast_5,cap_block_clast,unstable_structure,0.1891862298624484,0.0002504504174988108,-0.0792478350097759,0.18517478035126061,0.04181115322804458,0.0004890514969391502,0.11329540711951268,0.23201274815998893,0.13000000331497708,1.186728518219979,1.2028886398743224,1.560119797083568
earth,1,statics_wall,single_face_wall_4course_v1,34,21,3,cap,multi_facet_clast_6,equant_clast,missed_target,0.3820721765957922,0.0,-0.10078143021281115,-0.368540705286277,0.045149794653184354,0.00044523725815572213,0.05780214776018471,0.23206799118821075,0.10131775691945122,1.0440115173777937,1.0794009472404278,1.0991165345024712
earth,1,statics_wall,single_face_wall_4course_v1,88,22,3,cap,multi_facet_clast_2,compact_block_clast,missed_target+post_hold_drift,0.2496034791431206,0.19022276807664876,0.023376201454104524,0.23097236533640994,0.05584010756460964,0.0008434697311623801,0.03901285015087203,0.23208711182746214,0.09452068320774099,1.049497610717628,1.0068012264395947,1.0389151727832655
earth,2,statics_wall,single_face_wall_4course_v1,100,10,1,middle,multi_facet_clast_2,compact_block_clast,missed_target,0.2508619995443343,0.00024071515702616647,-0.08197060497231692,0.21350670193784238,0.0722660969457668,0.001836349362989683,0.055745678996821674,0.23185195169959036,0.0625018432339266,1.0163343465705363,1.0323715969200322,0.9969049142335868
earth,2,statics_wall,single_face_wall_4course_v1,115,20,3,cap,multi_facet_clast_2,course_block_clast,missed_target,0.21591754562567653,0.00015340242500658962,-0.2767272079886161,-0.14637643236926737,0.05761651967918411,0.0009725388842078717,0.05091393428933915,0.23191813895448476,0.08827458661270415,1.0221330906832695,1.0234180714011591,1.0012752673170369
earth,3,statics_wall,single_face_wall_4course_v1,122,1,0,base,multi_facet_clast_10,bearing_block_clast,missed_target,0.2040610508102924,0.0014530740119220163,-0.04002536775713721,-0.056875794280831254,0.0467457181461394,0.0007311177893436079,0.11347287650711192,0.23127953208338706,0.14000033983108762,1.3920086388183466,1.070951095615473,1.8976997259817527
earth,3,statics_wall,single_face_wall_4course_v1,39,9,1,middle,multi_facet_clast_8,course_block_clast,missed_target,0.22342389663841572,0.0009584852688097117,0.16416423865335789,-0.0047684806430897345,0.12633686219826562,0.0006290637389805132,0.07135283164278716,0.23227511368123835,0.13000020334372175,1.1388721551366876,1.1879931719090813,1.430163117276587
earth,3,statics_wall,single_face_wall_4course_v1,38,16,2,middle,multi_facet_clast_2,bearing_block_clast,missed_target,0.20764126911643813,0.0008405402893161748,0.13084522050849995,-0.20081571017341004,0.06153037626635138,0.0014412203484317756,0.06044005666107875,0.2321246023603188,0.07378325996808499,1.049854609661298,1.1377285300050743,1.170084932517166
moon,0,statics_wall,single_face_wall_4course_v1,55,3,0,base,multi_facet_clast_2,course_block_clast,missed_target,0.28068508465391406,0.00015998180032982407,0.20491139192666952,0.19182137056608095,0.05847320762081451,0.0009051391620167147,0.07837662348617097,0.23208815158336182,0.07613044542334779,1.0726871588096116,1.1215803395207538,1.1973941153555996
moon,0,statics_wall,single_face_wall_4course_v1,14,6,0,base,multi_facet_clast_5,bearing_block_clast,unstable_structure,0.18366919179595703,0.0,0.5214168907844671,-0.07553778322827505,0.04376284251487302,0.0007234830519834401,0.09554835378433557,0.2320232176733557,0.14000002071730888,1.3873291003666441,1.0353892153255364,1.829977114040748
moon,0,statics_wall,single_face_wall_4course_v1,112,8,1,middle,multi_facet_clast_2,compact_block_clast,unstable_structure,0.1920980538933977,9.389328754172034e-05,0.007733974085458409,-0.046678469304108676,0.06516152210133214,0.0010494540080628308,0.043467815990389486,0.23213199021807027,0.06608409154102302,1.0784370528473937,1.0015015104008702,1.090387375546601
moon,0,statics_wall,single_face_wall_4course_v1,123,17,2,middle,multi_facet_clast_6,course_block_clast,missed_target+post_hold_drift,0.27270335920623207,0.2993468012490571,0.3055795999527959,-0.24648785540717477,0.05417374224909124,0.0007159252424615732,0.06879790228968337,0.23185719776676053,0.1300000020296237,1.0880271765593599,1.1212997608897932,1.2381561697994947
moon,0,statics_wall,single_face_wall_4course_v1,124,21,3,cap,multi_facet_clast_2,compact_block_clast,missed_target+post_hold_drift,0.24406406408493528,0.16984269151431258,-0.1319965706095608,-0.20529045941049143,0.05194538014329295,0.0006312302268253667,0.05295996560259071,0.23181947269920736,0.06722126231100511,1.0422218622953134,1.0332226855067816,1.0519710965187004
moon,0,statics_wall,single_face_wall_4course_v1,136,22,3,cap,multi_facet_clast_2,compact_block_clast,missed_target+post_hold_drift,0.24482786421177866,0.20357694204447388,0.13707439938570376,-0.24408369544600023,0.05658922452766142,0.0009207525377215934,0.054097700695465475,0.23190352931171504,0.08103151909963202,1.0827610302320367,1.0491104819056576,1.1507707986953732
moon,0,statics_wall,single_face_wall_4course_v1,106,23,3,cap,multi_facet_clast_6,equant_clast,missed_target+post_hold_drift,0.5124332419626304,0.543226328137201,0.4407995923889398,-0.4697285965593918,0.04236322820741939,0.0003921225725287397,0.07383531124637084,0.232038181090549,0.0705666106102385,1.0660478281015995,1.1123161785003746,1.176001870496222
moon,1,statics_wall,single_face_wall_4course_v1,100,13,2,middle,multi_facet_clast_2,compact_block_clast,missed_target,0.41294618337031175,0.0,-0.6425726021252733,-0.22897496857713326,0.06571389166993404,0.001836349362989683,0.055745678996821674,0.23185195169959036,0.0625018432339266,1.0163343465705363,1.0323715969200322,0.9969049142335868
moon,1,statics_wall,single_face_wall_4course_v1,39,18,2,middle,multi_facet_clast_8,course_block_clast,unstable_structure,0.1980787907469334,1.432584010178418e-05,0.10000819158691514,0.028833920186540192,0.045236451800565146,0.0006290637389805132,0.07135283164278716,0.23227511368123835,0.13000020334372175,1.1388721551366876,1.1879931719090813,1.430163117276587
moon,3,statics_wall,single_face_wall_4course_v1,76,1,0,base,multi_facet_clast_2,compact_block_clast,missed_target,0.27220031179755005,0.0004612597606151099,-0.019901828651669513,0.1655131115126263,0.06159120508737823,0.0011472621917177862,0.04261281197263669,0.2320248537825752,0.07865090990133439,1.0543250634562802,1.0042157424411282,1.04499057031282
